Accession,Function_Annotation,log10p_value,Z_score
Q61241,Development of genital organ,3.36,1.672
Q9D411,Development of genital organ,3.36,1.672
P31254,Development of genital organ,3.36,1.672
Q9Z2C8,Development of genital organ,3.36,1.672
P09470,Abnormal morphology of gonad,3.24,
Q9R0H0,Abnormal morphology of gonad,3.24,
P23578,Abnormal morphology of gonad,3.24,
Q9QUJ7,Abnormal morphology of gonad,3.24,
Q60662,Abnormal morphology of gonad,3.24,
P28352,Abnormal morphology of gonad,3.24,
Q99PT1,Abnormal morphology of gonad,3.24,
Q8R5M8,Abnormal morphology of gonad,3.24,
P08414,Abnormal morphology of gonad,3.24,
E9Q9F6,Abnormal morphology of gonad,3.24,
Q9WU84,Abnormal morphology of gonad,3.24,
P58019,Abnormal morphology of gonad,3.24,
P40240,Abnormal morphology of gonad,3.24,
Q04735,Abnormal morphology of gonad,3.24,
P41209,Abnormal morphology of gonad,3.24,
Q0VFX2,Abnormal morphology of gonad,3.24,
P26361,Abnormal morphology of gonad,3.24,
Q9D5U8,Abnormal morphology of gonad,3.24,
Q5SU73,Abnormal morphology of gonad,3.24,
O54833,Abnormal morphology of gonad,3.24,
Q3TCH7,Abnormal morphology of gonad,3.24,
A2A432,Abnormal morphology of gonad,3.24,
P63037,Abnormal morphology of gonad,3.24,
Q9WVK4,Abnormal morphology of gonad,3.24,
Q9Z0R9,Abnormal morphology of gonad,3.24,
Q9WTX7,Abnormal morphology of gonad,3.24,
P30416,Abnormal morphology of gonad,3.24,
P70419,Abnormal morphology of gonad,3.24,
Q60928,Abnormal morphology of gonad,3.24,
P98192,Abnormal morphology of gonad,3.24,
Q07133,Abnormal morphology of gonad,3.24,
Q9Z0R0,Abnormal morphology of gonad,3.24,
P29416,Abnormal morphology of gonad,3.24,
P20060,Abnormal morphology of gonad,3.24,
P51660,Abnormal morphology of gonad,3.24,
P07901,Abnormal morphology of gonad,3.24,
Q61316,Abnormal morphology of gonad,3.24,
Q99P31,Abnormal morphology of gonad,3.24,
P42859,Abnormal morphology of gonad,3.24,
Q6PD10,Abnormal morphology of gonad,3.24,
P11881,Abnormal morphology of gonad,3.24,
Q9D5V2,Abnormal morphology of gonad,3.24,
P02468,Abnormal morphology of gonad,3.24,
Q61792,Abnormal morphology of gonad,3.24,
P54310,Abnormal morphology of gonad,3.24,
P48678,Abnormal morphology of gonad,3.24,
A2ARV4,Abnormal morphology of gonad,3.24,
Q91VH6,Abnormal morphology of gonad,3.24,
P21956,Abnormal morphology of gonad,3.24,
Q921V5,Abnormal morphology of gonad,3.24,
Q61884,Abnormal morphology of gonad,3.24,
Q80WJ7,Abnormal morphology of gonad,3.24,
Q99MH5,Abnormal morphology of gonad,3.24,
Q61999,Abnormal morphology of gonad,3.24,
Q5QNQ6,Abnormal morphology of gonad,3.24,
O35386,Abnormal morphology of gonad,3.24,
Q9JMB7,Abnormal morphology of gonad,3.24,
P63087-2,Abnormal morphology of gonad,3.24,
P20108,Abnormal morphology of gonad,3.24,
Q9JHJ7,Abnormal morphology of gonad,3.24,
Q61207,Abnormal morphology of gonad,3.24,
Q5SSW2,Abnormal morphology of gonad,3.24,
Q05769,Abnormal morphology of gonad,3.24,
P54728,Abnormal morphology of gonad,3.24,
Q3V0F0,Abnormal morphology of gonad,3.24,
Q8VIG3,Abnormal morphology of gonad,3.24,
Q6NZC7,Abnormal morphology of gonad,3.24,
P28661,Abnormal morphology of gonad,3.24,
P15265,Abnormal morphology of gonad,3.24,
Q9JJY3,Abnormal morphology of gonad,3.24,
P08228,Abnormal morphology of gonad,3.24,
Q8K450,Abnormal morphology of gonad,3.24,
Q9D5A0,Abnormal morphology of gonad,3.24,
Q62261,Abnormal morphology of gonad,3.24,
O55183,Abnormal morphology of gonad,3.24,
Q9D666,Abnormal morphology of gonad,3.24,
Q93092,Abnormal morphology of gonad,3.24,
Q8R1G1,Abnormal morphology of gonad,3.24,
P11985,Abnormal morphology of gonad,3.24,
P61407,Abnormal morphology of gonad,3.24,
Q9JMB1,Abnormal morphology of gonad,3.24,
Q9D411,Abnormal morphology of gonad,3.24,
O88623,Abnormal morphology of gonad,3.24,
Q5H8C4,Abnormal morphology of gonad,3.24,
Q9Z2C8,Abnormal morphology of gonad,3.24,
P58742,Adhesion of germ cells,3.18,0.707
Q3V140,Adhesion of germ cells,3.18,0.707
P50428,Adhesion of germ cells,3.18,0.707
Q9WV27,Adhesion of germ cells,3.18,0.707
Q91ZR5,Adhesion of germ cells,3.18,0.707
A2ARP9,Adhesion of germ cells,3.18,0.707
P40240,Adhesion of germ cells,3.18,0.707
P52194,Adhesion of germ cells,3.18,0.707
P09055,Adhesion of germ cells,3.18,0.707
Q9D5V2,Adhesion of germ cells,3.18,0.707
Q9D925,Adhesion of germ cells,3.18,0.707
P27046,Adhesion of germ cells,3.18,0.707
Q9JLI3,Adhesion of germ cells,3.18,0.707
P29121,Adhesion of germ cells,3.18,0.707
Q60963,Adhesion of germ cells,3.18,0.707
Q3V0F0,Adhesion of germ cells,3.18,0.707
P10852,Adhesion of germ cells,3.18,0.707
Q9D5A0,Adhesion of germ cells,3.18,0.707
Q9D411,Adhesion of germ cells,3.18,0.707
Q5SWU9,Morphology of genital organ,3.11,
P09470,Morphology of genital organ,3.11,
Q9CQR4,Morphology of genital organ,3.11,
Q9R0H0,Morphology of genital organ,3.11,
P23578,Morphology of genital organ,3.11,
Q9QUJ7,Morphology of genital organ,3.11,
Q9WTQ5,Morphology of genital organ,3.11,
Q60662,Morphology of genital organ,3.11,
P28352,Morphology of genital organ,3.11,
P08226,Morphology of genital organ,3.11,
Q99PT1,Morphology of genital organ,3.11,
P50428,Morphology of genital organ,3.11,
O08734,Morphology of genital organ,3.11,
O35855,Morphology of genital organ,3.11,
Q8R5M8,Morphology of genital organ,3.11,
P08414,Morphology of genital organ,3.11,
E9Q9F6,Morphology of genital organ,3.11,
Q9WU84,Morphology of genital organ,3.11,
P58019,Morphology of genital organ,3.11,
P40240,Morphology of genital organ,3.11,
Q04735,Morphology of genital organ,3.11,
P41209,Morphology of genital organ,3.11,
Q0VFX2,Morphology of genital organ,3.11,
P26361,Morphology of genital organ,3.11,
Q9D5U8,Morphology of genital organ,3.11,
Q5SU73,Morphology of genital organ,3.11,
O88587,Morphology of genital organ,3.11,
O54833,Morphology of genital organ,3.11,
Q02248,Morphology of genital organ,3.11,
Q3TCH7,Morphology of genital organ,3.11,
A2A432,Morphology of genital organ,3.11,
Q811D0,Morphology of genital organ,3.11,
P63037,Morphology of genital organ,3.11,
Q9WVK4,Morphology of genital organ,3.11,
P70372,Morphology of genital organ,3.11,
Q8CGC7,Morphology of genital organ,3.11,
Q9Z0R9,Morphology of genital organ,3.11,
Q9WTX7,Morphology of genital organ,3.11,
P30416,Morphology of genital organ,3.11,
P70419,Morphology of genital organ,3.11,
Q60928,Morphology of genital organ,3.11,
P26443,Morphology of genital organ,3.11,
P63094,Morphology of genital organ,3.11,
P98192,Morphology of genital organ,3.11,
Q9DCM2,Morphology of genital organ,3.11,
Q07133,Morphology of genital organ,3.11,
Q9Z0R0,Morphology of genital organ,3.11,
P29416,Morphology of genital organ,3.11,
P20060,Morphology of genital organ,3.11,
P51660,Morphology of genital organ,3.11,
P07901,Morphology of genital organ,3.11,
P17156,Morphology of genital organ,3.11,
Q61316,Morphology of genital organ,3.11,
Q99P31,Morphology of genital organ,3.11,
P42859,Morphology of genital organ,3.11,
Q6PD10,Morphology of genital organ,3.11,
P11881,Morphology of genital organ,3.11,
Q9D5V2,Morphology of genital organ,3.11,
P02468,Morphology of genital organ,3.11,
Q61792,Morphology of genital organ,3.11,
P54310,Morphology of genital organ,3.11,
P48678,Morphology of genital organ,3.11,
A2ARV4,Morphology of genital organ,3.11,
Q91VH6,Morphology of genital organ,3.11,
P21956,Morphology of genital organ,3.11,
Q921V5,Morphology of genital organ,3.11,
Q61884,Morphology of genital organ,3.11,
Q80WJ7,Morphology of genital organ,3.11,
Q99MH5,Morphology of genital organ,3.11,
Q11011,Morphology of genital organ,3.11,
Q61999,Morphology of genital organ,3.11,
Q5QNQ6,Morphology of genital organ,3.11,
O35129,Morphology of genital organ,3.11,
O35386,Morphology of genital organ,3.11,
Q9JMB7,Morphology of genital organ,3.11,
P63087-2,Morphology of genital organ,3.11,
P20108,Morphology of genital organ,3.11,
O08807,Morphology of genital organ,3.11,
Q9JHJ7,Morphology of genital organ,3.11,
Q61207,Morphology of genital organ,3.11,
Q5SSW2,Morphology of genital organ,3.11,
Q9Z1X2,Morphology of genital organ,3.11,
Q05769,Morphology of genital organ,3.11,
P35821,Morphology of genital organ,3.11,
P54728,Morphology of genital organ,3.11,
Q3V0F0,Morphology of genital organ,3.11,
Q8VIG3,Morphology of genital organ,3.11,
D3YXK2,Morphology of genital organ,3.11,
Q6NZC7,Morphology of genital organ,3.11,
P28661,Morphology of genital organ,3.11,
Q07235,Morphology of genital organ,3.11,
Q8BJU0,Morphology of genital organ,3.11,
Q9WV38,Morphology of genital organ,3.11,
P15265,Morphology of genital organ,3.11,
Q9JJY3,Morphology of genital organ,3.11,
P08228,Morphology of genital organ,3.11,
Q8K450,Morphology of genital organ,3.11,
Q9JLI7,Morphology of genital organ,3.11,
Q9D9W0,Morphology of genital organ,3.11,
Q9D5A0,Morphology of genital organ,3.11,
Q62261,Morphology of genital organ,3.11,
O55183,Morphology of genital organ,3.11,
Q9WTK7,Morphology of genital organ,3.11,
Q9D666,Morphology of genital organ,3.11,
Q93092,Morphology of genital organ,3.11,
Q8R1G1,Morphology of genital organ,3.11,
P11985,Morphology of genital organ,3.11,
P61407,Morphology of genital organ,3.11,
Q9JMB1,Morphology of genital organ,3.11,
P40142,Morphology of genital organ,3.11,
Q9D411,Morphology of genital organ,3.11,
Q9JKB1,Morphology of genital organ,3.11,
O88623,Morphology of genital organ,3.11,
Q5H8C4,Morphology of genital organ,3.11,
Q91V09,Morphology of genital organ,3.11,
Q99J09,Morphology of genital organ,3.11,
Q9Z2C8,Morphology of genital organ,3.11,
Q8BR70,Morphology of genital organ,3.11,
Q60662,Abnormal morphology of mitochondrial sheath,3.06,
Q61884,Abnormal morphology of mitochondrial sheath,3.06,
Q61999,Abnormal morphology of mitochondrial sheath,3.06,
Q5QNQ6,Abnormal morphology of mitochondrial sheath,3.06,
P63087-2,Abnormal morphology of mitochondrial sheath,3.06,
P28661,Abnormal morphology of mitochondrial sheath,3.06,
Q93092,Abnormal morphology of mitochondrial sheath,3.06,
Q5H8C4,Abnormal morphology of mitochondrial sheath,3.06,
P58742,Binding of ova,3.01,0.52
P09470,Binding of ova,3.01,0.52
Q3V140,Binding of ova,3.01,0.52
P50428,Binding of ova,3.01,0.52
Q9WV27,Binding of ova,3.01,0.52
Q91ZR5,Binding of ova,3.01,0.52
A2ARP9,Binding of ova,3.01,0.52
P40240,Binding of ova,3.01,0.52
Q9D5V2,Binding of ova,3.01,0.52
Q9D925,Binding of ova,3.01,0.52
P21956,Binding of ova,3.01,0.52
Q9JLI3,Binding of ova,3.01,0.52
P29121,Binding of ova,3.01,0.52
Q3V0F0,Binding of ova,3.01,0.52
P10852,Binding of ova,3.01,0.52
Q9D5A0,Binding of ova,3.01,0.52
Q9D411,Binding of ova,3.01,0.52
P23578,Acrosome reaction,2.76,
Q6UQ17,Acrosome reaction,2.76,
Q9D9V2,Acrosome reaction,2.76,
O88958,Acrosome reaction,2.76,
Q61999,Acrosome reaction,2.76,
P29121,Acrosome reaction,2.76,
Q9QXX3,Acrosome reaction,2.76,
Q9JHJ7,Acrosome reaction,2.76,
P15265,Acrosome reaction,2.76,
Q9D5A0,Acrosome reaction,2.76,
Q00262,Acrosome reaction,2.76,
Q93092,Acrosome reaction,2.76,
P09470,Abnormal morphology of genital organ,2.71,
Q9R0H0,Abnormal morphology of genital organ,2.71,
P23578,Abnormal morphology of genital organ,2.71,
Q9QUJ7,Abnormal morphology of genital organ,2.71,
Q9WTQ5,Abnormal morphology of genital organ,2.71,
Q60662,Abnormal morphology of genital organ,2.71,
P28352,Abnormal morphology of genital organ,2.71,
Q99PT1,Abnormal morphology of genital organ,2.71,
O08734,Abnormal morphology of genital organ,2.71,
Q8R5M8,Abnormal morphology of genital organ,2.71,
P08414,Abnormal morphology of genital organ,2.71,
E9Q9F6,Abnormal morphology of genital organ,2.71,
Q9WU84,Abnormal morphology of genital organ,2.71,
P58019,Abnormal morphology of genital organ,2.71,
P40240,Abnormal morphology of genital organ,2.71,
Q04735,Abnormal morphology of genital organ,2.71,
P41209,Abnormal morphology of genital organ,2.71,
Q0VFX2,Abnormal morphology of genital organ,2.71,
P26361,Abnormal morphology of genital organ,2.71,
Q9D5U8,Abnormal morphology of genital organ,2.71,
Q5SU73,Abnormal morphology of genital organ,2.71,
O88587,Abnormal morphology of genital organ,2.71,
O54833,Abnormal morphology of genital organ,2.71,
Q3TCH7,Abnormal morphology of genital organ,2.71,
A2A432,Abnormal morphology of genital organ,2.71,
Q811D0,Abnormal morphology of genital organ,2.71,
P63037,Abnormal morphology of genital organ,2.71,
Q9WVK4,Abnormal morphology of genital organ,2.71,
P70372,Abnormal morphology of genital organ,2.71,
Q9Z0R9,Abnormal morphology of genital organ,2.71,
Q9WTX7,Abnormal morphology of genital organ,2.71,
P30416,Abnormal morphology of genital organ,2.71,
P70419,Abnormal morphology of genital organ,2.71,
Q60928,Abnormal morphology of genital organ,2.71,
P98192,Abnormal morphology of genital organ,2.71,
Q07133,Abnormal morphology of genital organ,2.71,
Q9Z0R0,Abnormal morphology of genital organ,2.71,
P29416,Abnormal morphology of genital organ,2.71,
P20060,Abnormal morphology of genital organ,2.71,
P51660,Abnormal morphology of genital organ,2.71,
P07901,Abnormal morphology of genital organ,2.71,
Q61316,Abnormal morphology of genital organ,2.71,
Q99P31,Abnormal morphology of genital organ,2.71,
P42859,Abnormal morphology of genital organ,2.71,
Q6PD10,Abnormal morphology of genital organ,2.71,
P11881,Abnormal morphology of genital organ,2.71,
Q9D5V2,Abnormal morphology of genital organ,2.71,
P02468,Abnormal morphology of genital organ,2.71,
Q61792,Abnormal morphology of genital organ,2.71,
P54310,Abnormal morphology of genital organ,2.71,
P48678,Abnormal morphology of genital organ,2.71,
A2ARV4,Abnormal morphology of genital organ,2.71,
Q91VH6,Abnormal morphology of genital organ,2.71,
P21956,Abnormal morphology of genital organ,2.71,
Q921V5,Abnormal morphology of genital organ,2.71,
Q61884,Abnormal morphology of genital organ,2.71,
Q80WJ7,Abnormal morphology of genital organ,2.71,
Q99MH5,Abnormal morphology of genital organ,2.71,
Q61999,Abnormal morphology of genital organ,2.71,
Q5QNQ6,Abnormal morphology of genital organ,2.71,
O35129,Abnormal morphology of genital organ,2.71,
O35386,Abnormal morphology of genital organ,2.71,
Q9JMB7,Abnormal morphology of genital organ,2.71,
P63087-2,Abnormal morphology of genital organ,2.71,
P20108,Abnormal morphology of genital organ,2.71,
Q9JHJ7,Abnormal morphology of genital organ,2.71,
Q61207,Abnormal morphology of genital organ,2.71,
Q5SSW2,Abnormal morphology of genital organ,2.71,
Q05769,Abnormal morphology of genital organ,2.71,
P54728,Abnormal morphology of genital organ,2.71,
Q3V0F0,Abnormal morphology of genital organ,2.71,
Q8VIG3,Abnormal morphology of genital organ,2.71,
D3YXK2,Abnormal morphology of genital organ,2.71,
Q6NZC7,Abnormal morphology of genital organ,2.71,
P28661,Abnormal morphology of genital organ,2.71,
Q07235,Abnormal morphology of genital organ,2.71,
Q8BJU0,Abnormal morphology of genital organ,2.71,
P15265,Abnormal morphology of genital organ,2.71,
Q9JJY3,Abnormal morphology of genital organ,2.71,
P08228,Abnormal morphology of genital organ,2.71,
Q8K450,Abnormal morphology of genital organ,2.71,
Q9D5A0,Abnormal morphology of genital organ,2.71,
Q62261,Abnormal morphology of genital organ,2.71,
O55183,Abnormal morphology of genital organ,2.71,
Q9D666,Abnormal morphology of genital organ,2.71,
Q93092,Abnormal morphology of genital organ,2.71,
Q8R1G1,Abnormal morphology of genital organ,2.71,
P11985,Abnormal morphology of genital organ,2.71,
P61407,Abnormal morphology of genital organ,2.71,
Q9JMB1,Abnormal morphology of genital organ,2.71,
Q9D411,Abnormal morphology of genital organ,2.71,
O88623,Abnormal morphology of genital organ,2.71,
Q5H8C4,Abnormal morphology of genital organ,2.71,
Q9Z2C8,Abnormal morphology of genital organ,2.71,
P23578,Penetration of zona pellucida,2.71,
Q9QZL9,Penetration of zona pellucida,2.71,
P20060,Penetration of zona pellucida,2.71,
P15265,Penetration of zona pellucida,2.71,
Q812F3,Penetration of zona pellucida,2.71,
P09470,Fertility,2.7,-1.225
P23578,Fertility,2.7,-1.225
Q3V140,Fertility,2.7,-1.225
Q9QUJ7,Fertility,2.7,-1.225
Q9WTQ5,Fertility,2.7,-1.225
Q75UR0,Fertility,2.7,-1.225
P08030,Fertility,2.7,-1.225
Q5FWK3,Fertility,2.7,-1.225
Q99PT1,Fertility,2.7,-1.225
Q8BSY0,Fertility,2.7,-1.225
Q6UQ17,Fertility,2.7,-1.225
Q8R5M8,Fertility,2.7,-1.225
P08414,Fertility,2.7,-1.225
Q80W99,Fertility,2.7,-1.225
Q8BVN3,Fertility,2.7,-1.225
Q9WU84,Fertility,2.7,-1.225
P40240,Fertility,2.7,-1.225
P26361,Fertility,2.7,-1.225
Q8BJ64,Fertility,2.7,-1.225
P52194,Fertility,2.7,-1.225
Q9D5U8,Fertility,2.7,-1.225
Q3TCH7,Fertility,2.7,-1.225
A2A432,Fertility,2.7,-1.225
P63037,Fertility,2.7,-1.225
Q9D9V2,Fertility,2.7,-1.225
Q9Z0R9,Fertility,2.7,-1.225
Q9WTX7,Fertility,2.7,-1.225
P30416,Fertility,2.7,-1.225
Q8BTM8,Fertility,2.7,-1.225
Q6NSQ9,Fertility,2.7,-1.225
Q60928,Fertility,2.7,-1.225
P21278,Fertility,2.7,-1.225
P21765,Fertility,2.7,-1.225
P10922,Fertility,2.7,-1.225
Q07133,Fertility,2.7,-1.225
P43275,Fertility,2.7,-1.225
P51660,Fertility,2.7,-1.225
P07901,Fertility,2.7,-1.225
P48722,Fertility,2.7,-1.225
P09055,Fertility,2.7,-1.225
P11679,Fertility,2.7,-1.225
Q61292,Fertility,2.7,-1.225
P54310,Fertility,2.7,-1.225
P27046,Fertility,2.7,-1.225
P21956,Fertility,2.7,-1.225
Q921V5,Fertility,2.7,-1.225
Q9JLI3,Fertility,2.7,-1.225
Q99J99,Fertility,2.7,-1.225
Q9DAK2,Fertility,2.7,-1.225
P29121,Fertility,2.7,-1.225
Q9DAN1,Fertility,2.7,-1.225
Q9QXY9,Fertility,2.7,-1.225
P09041,Fertility,2.7,-1.225
Q9QXX3,Fertility,2.7,-1.225
P47713,Fertility,2.7,-1.225
P06869,Fertility,2.7,-1.225
P05132,Fertility,2.7,-1.225
Q9DBC7,Fertility,2.7,-1.225
Q99JF8,Fertility,2.7,-1.225
Q5SSW2,Fertility,2.7,-1.225
Q9Z1X2,Fertility,2.7,-1.225
Q05769,Fertility,2.7,-1.225
P54728,Fertility,2.7,-1.225
P62835,Fertility,2.7,-1.225
Q8VIG3,Fertility,2.7,-1.225
D3YXK2,Fertility,2.7,-1.225
Q6NZC7,Fertility,2.7,-1.225
Q07235,Fertility,2.7,-1.225
Q8BJU0,Fertility,2.7,-1.225
O35316,Fertility,2.7,-1.225
P15265,Fertility,2.7,-1.225
P08228,Fertility,2.7,-1.225
O55183,Fertility,2.7,-1.225
Q9Z1W9,Fertility,2.7,-1.225
Q8CFG0,Fertility,2.7,-1.225
P09925,Fertility,2.7,-1.225
Q93092,Fertility,2.7,-1.225
P40142,Fertility,2.7,-1.225
Q9D411,Fertility,2.7,-1.225
O88623,Fertility,2.7,-1.225
P58742,Fertilization of germ cells,2.65,0.816
Q3V140,Fertilization of germ cells,2.65,0.816
P50428,Fertilization of germ cells,2.65,0.816
Q9WV27,Fertilization of germ cells,2.65,0.816
Q91ZR5,Fertilization of germ cells,2.65,0.816
A2ARP9,Fertilization of germ cells,2.65,0.816
P40240,Fertilization of germ cells,2.65,0.816
Q9D5V2,Fertilization of germ cells,2.65,0.816
Q9D925,Fertilization of germ cells,2.65,0.816
Q9JLI3,Fertilization of germ cells,2.65,0.816
P29121,Fertilization of germ cells,2.65,0.816
Q60963,Fertilization of germ cells,2.65,0.816
Q3V0F0,Fertilization of germ cells,2.65,0.816
P10852,Fertilization of germ cells,2.65,0.816
Q9D5A0,Fertilization of germ cells,2.65,0.816
Q9D411,Fertilization of germ cells,2.65,0.816
Q8C0T9,Teratozoospermia,2.61,-2.056
Q9WV27,Teratozoospermia,2.61,-2.056
Q8R5M8,Teratozoospermia,2.61,-2.056
P08414,Teratozoospermia,2.61,-2.056
Q80W99,Teratozoospermia,2.61,-2.056
Q8BVN3,Teratozoospermia,2.61,-2.056
E9Q9F6,Teratozoospermia,2.61,-2.056
P41209,Teratozoospermia,2.61,-2.056
O54833,Teratozoospermia,2.61,-2.056
Q9WTX7,Teratozoospermia,2.61,-2.056
P70419,Teratozoospermia,2.61,-2.056
Q5QNQ6,Teratozoospermia,2.61,-2.056
P63087-2,Teratozoospermia,2.61,-2.056
Q9JHJ7,Teratozoospermia,2.61,-2.056
Q5SSW2,Teratozoospermia,2.61,-2.056
Q6NZC7,Teratozoospermia,2.61,-2.056
P28661,Teratozoospermia,2.61,-2.056
Q8K450,Teratozoospermia,2.61,-2.056
P58742,Fertilization of ova,2.52,1
Q3V140,Fertilization of ova,2.52,1
P50428,Fertilization of ova,2.52,1
Q9WV27,Fertilization of ova,2.52,1
Q91ZR5,Fertilization of ova,2.52,1
A2ARP9,Fertilization of ova,2.52,1
P40240,Fertilization of ova,2.52,1
Q9D5V2,Fertilization of ova,2.52,1
Q9D925,Fertilization of ova,2.52,1
Q9JLI3,Fertilization of ova,2.52,1
P29121,Fertilization of ova,2.52,1
Q3V0F0,Fertilization of ova,2.52,1
P10852,Fertilization of ova,2.52,1
Q9D5A0,Fertilization of ova,2.52,1
Q9D411,Fertilization of ova,2.52,1
Q8R5M8,Mobility of sperm,2.45,1.342
Q91ZR5,Mobility of sperm,2.45,1.342
Q80W99,Mobility of sperm,2.45,1.342
Q8BVN3,Mobility of sperm,2.45,1.342
P58019,Mobility of sperm,2.45,1.342
Q99PT1,Azoospermia or oligozoospermia,2.3,-0.509
Q8R5M8,Azoospermia or oligozoospermia,2.3,-0.509
P08414,Azoospermia or oligozoospermia,2.3,-0.509
E9Q9F6,Azoospermia or oligozoospermia,2.3,-0.509
P58019,Azoospermia or oligozoospermia,2.3,-0.509
P41209,Azoospermia or oligozoospermia,2.3,-0.509
Q9D5U8,Azoospermia or oligozoospermia,2.3,-0.509
O54833,Azoospermia or oligozoospermia,2.3,-0.509
Q3TCH7,Azoospermia or oligozoospermia,2.3,-0.509
P63037,Azoospermia or oligozoospermia,2.3,-0.509
Q9WVK4,Azoospermia or oligozoospermia,2.3,-0.509
P70372,Azoospermia or oligozoospermia,2.3,-0.509
Q9D9V2,Azoospermia or oligozoospermia,2.3,-0.509
Q9Z0R9,Azoospermia or oligozoospermia,2.3,-0.509
Q9WTX7,Azoospermia or oligozoospermia,2.3,-0.509
P30416,Azoospermia or oligozoospermia,2.3,-0.509
P70419,Azoospermia or oligozoospermia,2.3,-0.509
Q60928,Azoospermia or oligozoospermia,2.3,-0.509
P98192,Azoospermia or oligozoospermia,2.3,-0.509
P07901,Azoospermia or oligozoospermia,2.3,-0.509
Q61316,Azoospermia or oligozoospermia,2.3,-0.509
P48722,Azoospermia or oligozoospermia,2.3,-0.509
Q99P31,Azoospermia or oligozoospermia,2.3,-0.509
Q6PD10,Azoospermia or oligozoospermia,2.3,-0.509
P54310,Azoospermia or oligozoospermia,2.3,-0.509
P48678,Azoospermia or oligozoospermia,2.3,-0.509
Q921V5,Azoospermia or oligozoospermia,2.3,-0.509
Q61884,Azoospermia or oligozoospermia,2.3,-0.509
Q99MH5,Azoospermia or oligozoospermia,2.3,-0.509
Q61999,Azoospermia or oligozoospermia,2.3,-0.509
Q5QNQ6,Azoospermia or oligozoospermia,2.3,-0.509
P63087-2,Azoospermia or oligozoospermia,2.3,-0.509
O08807,Azoospermia or oligozoospermia,2.3,-0.509
Q9JHJ7,Azoospermia or oligozoospermia,2.3,-0.509
P34022,Azoospermia or oligozoospermia,2.3,-0.509
Q3V0F0,Azoospermia or oligozoospermia,2.3,-0.509
Q8VIG3,Azoospermia or oligozoospermia,2.3,-0.509
D3YXK2,Azoospermia or oligozoospermia,2.3,-0.509
Q8K450,Azoospermia or oligozoospermia,2.3,-0.509
Q9D666,Azoospermia or oligozoospermia,2.3,-0.509
Q8R1G1,Azoospermia or oligozoospermia,2.3,-0.509
P11985,Azoospermia or oligozoospermia,2.3,-0.509
P61407,Azoospermia or oligozoospermia,2.3,-0.509
Q9Z2C8,Azoospermia or oligozoospermia,2.3,-0.509
Q60662,Abnormal morphology of principal piece of spermatozoon,2.29,
P63087-2,Abnormal morphology of principal piece of spermatozoon,2.29,
P28661,Abnormal morphology of principal piece of spermatozoon,2.29,
Q9D411,Abnormal morphology of principal piece of spermatozoon,2.29,
P42859,Loss of male germ cells,2.29,
Q91VH6,Loss of male germ cells,2.29,
Q80WJ7,Loss of male germ cells,2.29,
O35386,Loss of male germ cells,2.29,
Q8R5M8,Arrest in spermatogenesis,2.22,
P08414,Arrest in spermatogenesis,2.22,
Q9WVK4,Arrest in spermatogenesis,2.22,
Q9Z0R9,Arrest in spermatogenesis,2.22,
P17156,Arrest in spermatogenesis,2.22,
Q99P31,Arrest in spermatogenesis,2.22,
Q9D5V2,Arrest in spermatogenesis,2.22,
Q99MH5,Arrest in spermatogenesis,2.22,
Q9JMB7,Arrest in spermatogenesis,2.22,
P63087-2,Arrest in spermatogenesis,2.22,
P54728,Arrest in spermatogenesis,2.22,
D3YXK2,Arrest in spermatogenesis,2.22,
Q8K450,Arrest in spermatogenesis,2.22,
Q8R1G1,Arrest in spermatogenesis,2.22,
P11985,Arrest in spermatogenesis,2.22,
P61407,Arrest in spermatogenesis,2.22,
Q9Z2C8,Arrest in spermatogenesis,2.22,
Q99PT1,Oligozoospermia,2.19,-0.923
Q8R5M8,Oligozoospermia,2.19,-0.923
P08414,Oligozoospermia,2.19,-0.923
E9Q9F6,Oligozoospermia,2.19,-0.923
P58019,Oligozoospermia,2.19,-0.923
P41209,Oligozoospermia,2.19,-0.923
O54833,Oligozoospermia,2.19,-0.923
Q3TCH7,Oligozoospermia,2.19,-0.923
P63037,Oligozoospermia,2.19,-0.923
Q9D9V2,Oligozoospermia,2.19,-0.923
Q9WTX7,Oligozoospermia,2.19,-0.923
P30416,Oligozoospermia,2.19,-0.923
P70419,Oligozoospermia,2.19,-0.923
Q60928,Oligozoospermia,2.19,-0.923
Q61316,Oligozoospermia,2.19,-0.923
P48722,Oligozoospermia,2.19,-0.923
P54310,Oligozoospermia,2.19,-0.923
Q61884,Oligozoospermia,2.19,-0.923
Q61999,Oligozoospermia,2.19,-0.923
Q5QNQ6,Oligozoospermia,2.19,-0.923
P63087-2,Oligozoospermia,2.19,-0.923
O08807,Oligozoospermia,2.19,-0.923
Q9JHJ7,Oligozoospermia,2.19,-0.923
Q3V0F0,Oligozoospermia,2.19,-0.923
Q8VIG3,Oligozoospermia,2.19,-0.923
Q8K450,Oligozoospermia,2.19,-0.923
P11985,Oligozoospermia,2.19,-0.923
Q8C0T9,Hairpin sperm flagellum,2.05,
Q9WTX7,Hairpin sperm flagellum,2.05,
P30416,Hairpin sperm flagellum,2.05,
Q9JHJ7,Hairpin sperm flagellum,2.05,
P28661,Hairpin sperm flagellum,2.05,
Q8R5M8,Arrest in spermiogenesis,1.88,
Q9WVK4,Arrest in spermiogenesis,1.88,
